2022年4月11日 上午10:07:30
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Team6Robot.Team6Robot*,4039 (31%),2400,400,1083,149,7,0,8,2,0
2nd,team5.team5*,2095 (16%),1300,0,745,35,14,0,0,3,1
3rd,test.Team1*,2076 (16%),1300,50,651,69,6,0,1,2,3
4th,myrobots.Team4*,1919 (15%),1200,0,621,32,55,11,0,1,4
5th,team2.Team2*,1888 (14%),1150,50,651,29,8,0,1,2,2
6th,Team3*,1040 (8%),150,0,511,30,349,0,0,0,0
$
