2022年4月11日 上午11:13:06
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,Team6Robot.Team6Robot*,3872 (31%),2250,300,1164,157,1,0,6,3,1
2nd,Team1*,3117 (25%),1900,200,919,97,0,0,4,3,1
3rd,team2.Team2*,1803 (15%),900,0,843,57,2,0,0,1,2
4th,R.Team5*,1801 (15%),1350,0,434,15,1,0,0,2,5
5th,myrobots.Team4*,1145 (9%),850,0,271,8,16,0,0,0,1
6th,Team3*,558 (5%),250,0,252,23,34,0,0,1,0
$
